tanggal,harga
2020-01-04,9650
2020-01-11,9650
2020-01-18,9700
2020-01-25,9750
2020-02-01,9750
2020-02-08,9750
2020-02-15,9800
2020-02-22,9950
2020-02-29,9900
2020-03-07,9900
2020-03-14,9850
2020-03-21,9750
2020-03-28,9700
2020-04-04,9700
2020-04-11,9700
2020-04-18,9650
2020-04-25,9650
2020-05-02,9650
2020-05-09,9650
2020-05-16,9600
2020-05-23,9500
2020-05-30,9500
2020-06-06,9500
2020-06-13,9500
2020-06-20,9550
2020-06-27,9500
2020-07-04,9500
2020-07-11,9500
2020-07-18,9500
2020-07-25,9450
2020-08-01,9450
2020-08-08,9450
2020-08-15,9450
2020-08-22,9450
2020-08-29,9450
2020-09-05,9450
2020-09-12,9450
2020-09-19,9450
2020-09-26,9450
2020-10-03,9450
2020-10-10,9450
2020-10-17,9400
2020-10-24,9400
2020-10-31,9400
2020-11-07,9400
2020-11-14,9400
2020-11-21,9400
2020-11-28,9400
2020-12-05,9400
2020-12-12,9400
2020-12-19,9400
2020-12-26,9400
2021-01-02,9350
2021-01-09,9350
2021-01-16,9400
2021-01-23,9450
2021-01-30,9450
2021-02-06,9450
2021-02-13,9450
2021-02-20,9450
2021-02-27,9400
2021-03-06,9400
2021-03-13,9400
2021-03-20,9400
2021-03-27,9400
2021-04-03,9400
2021-04-10,9400
2021-04-17,9400
2021-04-24,9250
2021-05-01,9200
2021-05-08,9200
2021-05-15,9200
2021-05-22,9200
2021-05-29,9200
2021-06-05,9200
2021-06-12,9200
2021-06-19,9150
2021-06-26,9150
2021-07-03,9150
2021-07-10,9150
2021-07-17,9150
2021-07-24,9100
2021-07-31,9100
2021-08-07,9100
2021-08-14,9100
2021-08-21,9150
2021-08-28,9150
2021-09-04,9150
2021-09-11,9200
2021-09-18,9150
2021-09-25,9150
2021-10-02,9200
2021-10-09,9200
2021-10-16,9200
2021-10-23,9150
2021-10-30,9150
2021-11-06,9150
2021-11-13,9100
2021-11-20,9100
2021-11-27,9100
2021-12-04,9100
2021-12-11,9100
2021-12-18,9150
2021-12-25,9200
2022-01-01,9200
2022-01-08,9200
2022-01-15,9250
2022-01-22,9400
2022-01-29,9450
2022-02-05,9450
2022-02-12,9450
2022-02-19,9400
2022-02-26,9350
2022-03-05,9350
2022-03-12,9350
2022-03-19,9350
2022-03-26,9350
2022-04-02,9350
2022-04-09,9350
2022-04-16,9350
2022-04-23,10000
2022-04-30,10100
2022-05-07,10100
2022-05-14,10100
2022-05-21,10100
2022-05-28,10050
2022-06-04,10050
2022-06-11,10050
2022-06-18,10050
2022-06-25,10000
2022-07-02,10150
2022-07-09,10150
2022-07-16,10150
2022-07-23,10200
2022-07-30,10200
2022-08-06,10200
2022-08-13,10250
2022-08-20,10400
2022-08-27,10550
2022-09-03,10550
2022-09-10,10550
2022-09-17,10550
2022-09-24,10750
2022-10-01,10750
2022-10-08,10750
2022-10-15,10800
2022-10-22,10300
2022-10-29,10150
2022-11-05,10150
2022-11-12,10150
2022-11-19,10200
2022-11-26,10100
2022-12-03,10100
2022-12-10,10100
2022-12-17,10200
2022-12-24,10550
2022-12-31,10550
2023-01-07,10550
2023-01-14,10550
2023-01-21,10700
2023-01-28,10700
2023-02-04,10700
2023-02-11,10700
2023-02-18,10800
2023-02-25,10800
2023-03-04,11050
2023-03-11,11050
2023-03-18,11100
2023-03-25,11250
2023-04-01,11250
2023-04-08,11250
2023-04-15,11250
2023-04-22,11200
2023-04-29,11100
2023-05-06,11100
2023-05-13,11100
2023-05-20,11100
2023-05-27,11200
2023-06-03,11200
