tanggal,harga
2020-01-04,9400
2020-01-11,9400
2020-01-18,9450
2020-01-25,9500
2020-02-01,9500
2020-02-08,9500
2020-02-15,9550
2020-02-22,9600
2020-02-29,9600
2020-03-07,9600
2020-03-14,9600
2020-03-21,9550
2020-03-28,9500
2020-04-04,9500
2020-04-11,9500
2020-04-18,9450
2020-04-25,9450
2020-05-02,9450
2020-05-09,9450
2020-05-16,9400
2020-05-23,9350
2020-05-30,9350
2020-06-06,9350
2020-06-13,9350
2020-06-20,9350
2020-06-27,9300
2020-07-04,9300
2020-07-11,9300
2020-07-18,9300
2020-07-25,9250
2020-08-01,9250
2020-08-08,9250
2020-08-15,9300
2020-08-22,9250
2020-08-29,9250
2020-09-05,9250
2020-09-12,9200
2020-09-19,9250
2020-09-26,9200
2020-10-03,9200
2020-10-10,9200
2020-10-17,9200
2020-10-24,9200
2020-10-31,9200
2020-11-07,9200
2020-11-14,9150
2020-11-21,9150
2020-11-28,9200
2020-12-05,9200
2020-12-12,9200
2020-12-19,9250
2020-12-26,9250
2021-01-02,9200
2021-01-09,9200
2021-01-16,9200
2021-01-23,9200
2021-01-30,9200
2021-02-06,9200
2021-02-13,9200
2021-02-20,9200
2021-02-27,9250
2021-03-06,9250
2021-03-13,9250
2021-03-20,9200
2021-03-27,9150
2021-04-03,9150
2021-04-10,9150
2021-04-17,9100
2021-04-24,8950
2021-05-01,8950
2021-05-08,8950
2021-05-15,8900
2021-05-22,8950
2021-05-29,8900
2021-06-05,8900
2021-06-12,8950
2021-06-19,8950
2021-06-26,8950
2021-07-03,8950
2021-07-10,8950
2021-07-17,9000
2021-07-24,8950
2021-07-31,8950
2021-08-07,8950
2021-08-14,8950
2021-08-21,8950
2021-08-28,9000
2021-09-04,9000
2021-09-11,9000
2021-09-18,9000
2021-09-25,9000
2021-10-02,9000
2021-10-09,9000
2021-10-16,9000
2021-10-23,9000
2021-10-30,8950
2021-11-06,8950
2021-11-13,8950
2021-11-20,8950
2021-11-27,8950
2021-12-04,8950
2021-12-11,8950
2021-12-18,9000
2021-12-25,9050
2022-01-01,9050
2022-01-08,9050
2022-01-15,9150
2022-01-22,9350
2022-01-29,9350
2022-02-05,9350
2022-02-12,9350
2022-02-19,9350
2022-02-26,9350
2022-03-05,9350
2022-03-12,9350
2022-03-19,9300
2022-03-26,9250
2022-04-02,9250
2022-04-09,9250
2022-04-16,9200
2022-04-23,9200
2022-04-30,9200
2022-05-07,9200
2022-05-14,9200
2022-05-21,9150
2022-05-28,9050
2022-06-04,9050
2022-06-11,9050
2022-06-18,9050
2022-06-25,9150
2022-07-02,9200
2022-07-09,9200
2022-07-16,9200
2022-07-23,9300
2022-07-30,9350
2022-08-06,9350
2022-08-13,9350
2022-08-20,9450
2022-08-27,9550
2022-09-03,9550
2022-09-10,9550
2022-09-17,9600
2022-09-24,9850
2022-10-01,9850
2022-10-08,9850
2022-10-15,9850
2022-10-22,10050
2022-10-29,10150
2022-11-05,10150
2022-11-12,10200
2022-11-19,10200
2022-11-26,10050
2022-12-03,10050
2022-12-10,10050
2022-12-17,10150
2022-12-24,10500
2022-12-31,10550
2023-01-07,10550
2023-01-14,10550
2023-01-21,10700
2023-01-28,10750
2023-02-04,10750
2023-02-11,10750
2023-02-18,10900
2023-02-25,10900
2023-03-04,11250
2023-03-11,11250
2023-03-18,11250
2023-03-25,11300
2023-04-01,11300
2023-04-08,11300
2023-04-15,11300
2023-04-22,11250
2023-04-29,11150
2023-05-06,11150
2023-05-13,11150
2023-05-20,11150
